Energy (meV),DOS
0,0.051249185
0.1,9.05E-46
0.2,1.11E-45
0.3,1.37E-45
0.4,1.68E-45
0.5,2.06E-45
0.6,2.54E-45
0.7,3.11E-45
0.8,4.13E-45
0.9,2.17E-22
1,4.43E-08
1.1,0.002609772
1.2,4.43E-08
1.3,2.17E-22
1.4,1.34E-44
1.5,6.01E-38
1.6,7.27E-30
1.7,7.35E-23
1.8,6.21E-17
1.9,4.39E-12
2,2.60E-08
2.1,1.28E-05
2.2,0.000531088
2.3,0.00183652
2.4,0.000531088
2.5,1.28E-05
2.6,2.60E-08
2.7,4.40E-12
2.8,3.19E-12
2.9,9.58E-10
3,1.19E-07
3.1,6.20E-06
3.2,0.000133653
3.3,0.001198708
3.4,0.004470474
3.5,0.006932667
3.6,0.004470474
3.7,0.001198708
3.8,0.000133654
3.9,6.21E-06
4,4.01E-07
4.1,3.54E-06
4.2,2.81E-05
4.3,0.000140508
4.4,0.000444017
4.5,0.000885559
4.6,0.001114697
4.7,0.000885559
4.8,0.000444018
4.9,0.000140521
5,2.82E-05
5.1,4.45E-06
5.2,5.51E-06
5.3,2.29E-05
5.4,7.69E-05
5.5,0.000197185
5.6,0.000386254
5.7,0.000578194
5.8,0.000661424
5.9,0.000578283
6,0.000386818
6.1,0.000200145
6.2,9.00E-05
6.3,7.12E-05
6.4,0.000155375
6.5,0.00039299
6.6,0.000859993
6.7,0.001583818
6.8,0.002450078
6.9,0.003183236
7,0.00347357
7.1,0.003183709
7.2,0.002451861
7.3,0.001589471
7.4,0.000875769
7.5,0.000431582
7.6,0.000237091
7.7,0.000217774
7.8,0.000305677
7.9,0.000450518
8,0.00060696
8.1,0.000728181
8.2,0.000775443
8.3,0.000734512
8.4,0.00062368
8.5,0.000485582
8.6,0.000367961
8.7,0.000305502
8.8,0.000311172
8.9,0.000377049
9,0.000479948
9.1,0.000588395
9.2,0.000670451
9.3,0.00070226
9.4,0.000675238
9.5,0.000598581
9.6,0.000495395
9.7,0.00039408
9.8,0.000319021
9.9,0.000284347
10,0.000292172
10.1,0.000334469
10.2,0.000396842
10.3,0.000462901
10.4,0.00051865
10.5,0.000556428
10.6,0.000577643
10.7,0.000593333
10.8,0.000621971
10.9,0.000684736
11,0.000799349
11.1,0.000974116
11.2,0.001203779
11.3,0.001468451
11.4,0.001736226
11.5,0.001969194
11.6,0.002131655
11.7,0.002198465
11.8,0.002161139
11.9,0.002029829
12,0.0018305
12.1,0.001598232
12.2,0.001368778
12.3,0.001170909
12.4,0.001021563
12.5,0.000924644
12.6,0.000873119
12.7,0.000853193
12.8,0.000849077
12.9,0.000847073
13,0.000838162
13.1,0.000818861
13.2,0.000790543
13.3,0.000757723
13.4,0.000725954
13.5,0.000699925
13.6,0.000682215
13.7,0.000672905
13.8,0.000669994
13.9,0.00067037
14,0.000670966
14.1,0.000669743
14.2,0.000666265
14.3,0.000661737
14.4,0.000658599
14.5,0.000659831
14.6,0.000668208
14.7,0.000685717
14.8,0.000713275
14.9,0.000750772
15,0.000797392
15.1,0.000852065
15.2,0.000913889
15.3,0.00098238
15.4,0.001057474
15.5,0.001139266
15.6,0.00122756
15.7,0.001321372
15.8,0.001418513
15.9,0.001515405
16,0.0016072
16.1,0.001688209
16.2,0.001752583
16.3,0.001795117
16.4,0.001812021
16.5,0.001801512
16.6,0.001764117
16.7,0.001702631
16.8,0.001621748
16.9,0.001527449
17,0.001426255
17.1,0.001324486
17.2,0.001227631
17.3,0.001139917
17.4,0.001064109
17.5,0.001001534
17.6,0.000952274
17.7,0.000915466
17.8,0.000889645
17.9,0.000873052
18,0.000863892
18.1,0.000860498
18.2,0.000861428
18.3,0.000865495
18.4,0.000871754
18.5,0.000879475
18.6,0.000888113
18.7,0.000897273
18.8,0.000906699
18.9,0.000916249
19,0.000925884
19.1,0.000935645
19.2,0.000945625
19.3,0.000955949
19.4,0.000966739
19.5,0.000978103
19.6,0.000990122
19.7,0.001002851
19.8,0.001016342
19.9,0.00103066
20,0.001045911
20.1,0.001062262
20.2,0.001079953
20.3,0.001099294
20.4,0.001120649
20.5,0.001144404
20.6,0.00117093
20.7,0.001200537
20.8,0.00123343
20.9,0.001269668
21,0.00130914
21.1,0.001351544
21.2,0.001396381
21.3,0.00144297
21.4,0.001490459
21.5,0.001537861
21.6,0.001584089
21.7,0.001628001
21.8,0.001668445
21.9,0.00170431
22,0.001734578
22.1,0.001758368
22.2,0.001774982
22.3,0.001783939
22.4,0.001785002
22.5,0.001778195
22.6,0.001763801
22.7,0.001742351
22.8,0.0017146
22.9,0.001681489
23,0.001644105
23.1,0.001603624
23.2,0.001561261
23.3,0.001518224
23.4,0.001475663
23.5,0.001434638
23.6,0.001396084
23.7,0.0013608
23.8,0.001329432
23.9,0.00130248
24,0.001280301
24.1,0.001263121
24.2,0.001251052
24.3,0.001244107
24.4,0.00124222
24.5,0.001245258
24.6,0.001253036
24.7,0.001265328
24.8,0.001281877
24.9,0.001302393
25,0.001326565
25.1,0.001354056
25.2,0.001384506
25.3,0.001417531
25.4,0.001452718
25.5,0.001489629
25.6,0.001527802
25.7,0.001566748
25.8,0.001605956
25.9,0.001644899
26,0.001683039
26.1,0.001719838
26.2,0.001754761
26.3,0.001787295
26.4,0.001816955
26.5,0.001843299
26.6,0.001865937
26.7,0.001884547
26.8,0.00189888
26.9,0.001908769
27,0.001914141
27.1,0.001915011
27.2,0.001911491
27.3,0.001903786
27.4,0.001892185
27.5,0.001877062
27.6,0.001858858
27.7,0.001838075
27.8,0.001815259
27.9,0.001790988
28,0.001765859
28.1,0.001740468
28.2,0.0017154
28.3,0.001691216
28.4,0.00166844
28.5,0.00164755
28.6,0.00162897
28.7,0.001613062
28.8,0.001600127
28.9,0.001590398
29,0.001584042
29.1,0.001581161
29.2,0.001581796
29.3,0.001585927
29.4,0.001593479
29.5,0.001604329
29.6,0.001618306
29.7,0.001635203
29.8,0.001654774
29.9,0.001676746
30,0.001700819
30.1,0.001726674
30.2,0.001753976
30.3,0.001782379
30.4,0.001811531
30.5,0.001841076
30.6,0.001870663
30.7,0.001899944
30.8,0.001928587
30.9,0.001956271
31,0.001982699
31.1,0.002007596
31.2,0.002030716
31.3,0.002051846
31.4,0.002070808
31.5,0.002087465
31.6,0.002101717
31.7,0.002113509
31.8,0.002122829
31.9,0.002129708
32,0.002134219
32.1,0.002136479
32.2,0.002136639
32.3,0.002134888
32.4,0.002131446
32.5,0.002126561
32.6,0.0021205
32.7,0.00211355
32.8,0.002106007
32.9,0.002098174
33,0.002090352
33.1,0.002082839
33.2,0.002075921
33.3,0.00206987
33.4,0.002064935
33.5,0.002061347
33.6,0.002059307
33.7,0.002058989
33.8,0.002060534
33.9,0.002064055
34,0.00206963
34.1,0.002077305
34.2,0.002087095
34.3,0.002098985
34.4,0.00211293
34.5,0.002128859
34.6,0.002146674
34.7,0.002166258
34.8,0.002187473
34.9,0.002210165
35,0.002234166
35.1,0.002259298
35.2,0.002285377
35.3,0.002312212
35.4,0.002339616
35.5,0.002367398
35.6,0.002395375
35.7,0.002423371
35.8,0.002451219
35.9,0.002478762
36,0.00250586
36.1,0.002532384
36.2,0.002558224
36.3,0.002583287
36.4,0.002607495
36.5,0.002630792
36.6,0.002653137
36.7,0.002674509
36.8,0.002694902
36.9,0.002714327
37,0.00273281
37.1,0.002750391
37.2,0.002767121
37.3,0.00278306
37.4,0.002798277
37.5,0.002812849
37.6,0.002826855
37.7,0.002840375
37.8,0.002853493
37.9,0.002866288
38,0.002878839
38.1,0.002891216
38.2,0.002903489
38.3,0.002915716
38.4,0.00292795
38.5,0.002940236
38.6,0.00295261
38.7,0.002965098
38.8,0.002977722
38.9,0.002990491
39,0.003003413
39.1,0.003016484
39.2,0.003029698
39.3,0.003043044
39.4,0.003056508
39.5,0.003070073
39.6,0.003083722
39.7,0.003097438
39.8,0.003111205
39.9,0.003125009
40,0.003138841
40.1,0.003152693
40.2,0.003166563
40.3,0.003180452
40.4,0.003194369
40.5,0.003208324
40.6,0.003222335
40.7,0.003236424
40.8,0.003250618
40.9,0.003264945
41,0.003279439
41.1,0.003294137
41.2,0.003309077
41.3,0.003324297
41.4,0.003339836
41.5,0.003355734
41.6,0.003372028
41.7,0.003388753
41.8,0.003405943
41.9,0.003423626
42,0.003441828
42.1,0.00346057
42.2,0.003479868
42.3,0.003499734
42.4,0.003520172
42.5,0.003541185
