Energy,DOS
0.02585,0.00666
0.0517,-7.19E-04
0.07755,0.0028
0.1034,-6.24E-04
0.12925,0.00284
0.1551,-6.19E-04
0.18095,0.00276
0.2068,-5.61E-04
0.23265,0.0027
0.2585,-4.30E-04
0.28435,0.00253
0.3102,-3.50E-04
0.33605,0.00248
0.3619,-2.63E-04
0.38775,0.00234
0.4136,-1.50E-04
0.43945,0.00216
0.4653,7.12E-06
0.49115,0.00188
0.517,2.34E-04
0.54285,0.0017
0.5687,5.14E-04
0.59455,0.0015
0.6204,7.29E-04
0.64625,0.00186
0.6721,0.00692
0.69795,0.02074
0.7238,-0.0011
0.74965,0.00355
0.7755,3.51E-04
0.80135,0.00458
0.8272,0.00379
0.85305,-0.00146
0.8789,0.01194
0.90475,0.00877
0.9306,0.00393
0.95645,0.01015
0.9823,0.00903
1.00815,2.58E-03
1.034,0.00166
1.05985,0.00218
1.0857,0.00429
1.11155,0.00355
1.1374,0.00428
1.16325,0.00701
1.1891,0.00908
1.21495,0.0076
1.2408,0.00526
1.26665,0.00484
1.2925,0.00673
1.31835,0.00875
1.3442,0.01214
1.37005,0.02272
1.3959,0.04299
1.42175,0.0554
1.4476,0.05499
1.47345,0.06797
1.4993,0.09193
1.52515,0.08876
1.551,0.05591
1.57685,0.02619
1.6027,0.01373
1.62855,0.011
1.6544,1.06E-02
1.68025,0.01042
1.7061,9.89E-03
1.73195,8.91E-03
1.7578,7.98E-03
1.78365,7.78E-03
1.8095,8.46E-03
1.83535,9.84E-03
1.8612,1.18E-02
1.88705,1.39E-02
1.9129,1.56E-02
1.93875,1.62E-02
1.9646,1.56E-02
1.99045,1.44E-02
2.0163,1.31E-02
2.04215,1.19E-02
2.068,1.13E-02
2.09385,1.17E-02
2.1197,1.33E-02
2.14555,1.58E-02
2.1714,1.86E-02
2.19725,2.10E-02
2.2231,2.27E-02
2.24895,2.34E-02
2.2748,2.30E-02
2.30065,2.18E-02
2.3265,2.02E-02
2.35235,1.90E-02
2.3782,1.86E-02
2.40405,1.95E-02
2.4299,2.11E-02
2.45575,2.29E-02
2.4816,2.43E-02
2.50745,2.50E-02
2.5333,2.51E-02
2.55915,2.49E-02
2.585,2.47E-02
2.61085,2.46E-02
2.6367,2.48E-02
2.66255,2.51E-02
2.6884,2.53E-02
2.71425,2.56E-02
2.7401,2.58E-02
2.76595,2.60E-02
2.7918,2.62E-02
2.81765,2.63E-02
2.8435,2.65E-02
2.86935,2.67E-02
2.8952,2.69E-02
2.92105,2.72E-02
2.9469,2.76E-02
2.97275,2.80E-02
2.9986,2.84E-02
3.02445,2.87E-02
3.0503,2.87E-02
3.07615,2.87E-02
3.102,2.87E-02
3.12785,2.88E-02
3.1537,2.91E-02
3.17955,2.96E-02
3.2054,3.03E-02
3.23125,3.11E-02
3.2571,3.20E-02
3.28295,3.30E-02
3.3088,3.40E-02
3.33465,3.49E-02
3.3605,3.58E-02
3.38635,3.66E-02
3.4122,3.74E-02
3.43805,3.80E-02
3.46391,3.86E-02
3.48976,3.90E-02
3.51561,3.91E-02
3.54146,3.92E-02
3.56731,3.91E-02
3.59316,3.89E-02
3.61901,3.88E-02
3.64486,3.88E-02
3.67071,3.91E-02
3.69656,3.95E-02
3.72241,4.03E-02
3.74826,4.13E-02
3.77411,4.25E-02
3.79996,4.38E-02
3.82581,4.51E-02
3.85166,4.64E-02
3.87751,4.76E-02
3.90336,4.86E-02
3.92921,4.95E-02
3.95506,5.01E-02
3.98091,5.06E-02
4.00676,5.09E-02
4.03261,5.10E-02
4.05846,5.12E-02
4.08431,5.13E-02
4.11016,5.14E-02
4.13601,5.15E-02
4.16186,5.17E-02
4.18771,5.20E-02
4.21356,5.23E-02
4.23941,5.27E-02
4.26526,5.31E-02
4.29111,5.35E-02
4.31696,5.39E-02
4.34281,5.43E-02
4.36866,5.46E-02
4.39451,5.50E-02
4.42036,5.53E-02
4.44621,5.56E-02
4.47206,5.59E-02
4.49791,5.63E-02
4.52376,5.66E-02
4.54961,5.70E-02
4.57546,5.74E-02
4.60131,5.79E-02
4.62716,5.86E-02
4.65301,5.93E-02
4.67886,6.01E-02
4.70471,6.10E-02
4.73056,6.20E-02
4.75641,6.30E-02
4.78226,6.40E-02
4.80811,6.51E-02
4.83396,6.61E-02
4.85981,6.70E-02
4.88566,6.79E-02
4.91151,6.88E-02
4.93736,6.95E-02
4.96321,7.02E-02
4.98906,7.09E-02
5.01491,7.15E-02
5.04076,7.20E-02
5.06661,7.26E-02
5.09246,7.32E-02
5.11831,7.38E-02
5.14416,7.45E-02
5.17001,7.52E-02
5.19586,7.59E-02
5.22171,7.67E-02
5.24756,7.76E-02
5.27341,7.85E-02
5.29926,7.94E-02
5.32511,8.03E-02
5.35096,8.13E-02
5.37681,8.22E-02
5.40266,8.32E-02
5.42851,8.41E-02
5.45436,8.50E-02
5.48021,8.59E-02
5.50606,8.68E-02
5.53191,8.77E-02
5.55776,8.86E-02
5.58361,8.95E-02
5.60946,9.03E-02
5.63531,9.11E-02
5.66116,9.19E-02
5.68701,9.27E-02
5.71286,9.35E-02
5.73871,9.42E-02
5.76456,9.49E-02
5.79041,9.56E-02
5.81626,9.63E-02
5.84211,9.70E-02
5.86796,9.77E-02
5.89381,9.84E-02
5.91966,9.90E-02
5.94551,9.97E-02
5.97136,1.00E-01
5.99721,1.01E-01
6.02306,1.02E-01
6.04891,1.03E-01
6.07476,1.03E-01
6.10061,1.04E-01
6.12646,1.05E-01
6.15231,1.06E-01
6.17816,1.06E-01
6.20401,1.07E-01
6.22986,1.08E-01
6.25571,1.09E-01
6.28156,1.10E-01
6.30741,1.10E-01
6.33326,1.11E-01
6.35911,1.12E-01
6.38496,1.13E-01
6.41081,1.14E-01
6.43666,1.15E-01
6.46251,1.15E-01
6.48836,1.16E-01
6.51421,1.17E-01
6.54006,1.18E-01
6.56591,1.18E-01
6.59176,1.19E-01
6.61761,1.20E-01
6.64346,1.21E-01
6.66931,1.21E-01
6.69516,1.22E-01
6.72101,1.23E-01
6.74686,1.23E-01
6.77271,1.24E-01
6.79856,1.25E-01
6.82441,1.25E-01
6.85026,1.26E-01
6.87611,1.27E-01
6.90196,1.27E-01
6.92781,1.28E-01
6.95366,1.29E-01
6.97951,1.30E-01
7.00536,1.31E-01
7.03121,1.32E-01
7.05706,1.32E-01
7.08291,1.33E-01
7.10876,1.34E-01
7.13461,1.35E-01
7.16046,1.36E-01
7.18631,1.37E-01
7.21216,0.13849
7.23801,0.1396
7.26386,0.14073
7.28971,0.14189
7.31556,0.14306
7.34141,0.14425
7.36726,0.14544
7.39311,0.14665
7.41896,0.14785
7.44481,0.14905
7.47066,0.15024
7.49651,0.15142
7.52236,0.15257
7.54821,0.1537
7.57406,0.1548
7.59991,0.15586
7.62576,0.15689
7.65161,0.15787
7.67746,0.15881
7.70331,0.15971
7.72916,0.16057
7.75501,0.16139
7.78086,0.16217
7.80671,0.16292
7.83256,0.16365
7.85841,0.16435
7.88426,0.16503
7.91011,0.1657
7.93596,0.16636
7.96181,0.16702
7.98766,0.16768
8.01351,0.16834
8.03936,0.16902
8.06521,0.1697
8.09106,0.17039
8.11691,0.1711
8.14276,0.17182
8.16861,0.17256
8.19446,0.1733
8.22031,0.17406
8.24616,0.17482
8.27201,0.17559
8.29786,0.17637
8.32371,0.17715
8.34956,0.17794
8.37541,0.17872
8.40126,0.1795
8.42711,0.18029
8.45296,0.18107
8.47881,0.18184
8.50466,0.18262
8.53051,0.18339
8.55636,0.18416
8.58221,0.18493
8.60806,0.1857
8.63391,0.18647
8.65976,0.18724
8.68561,0.18803
8.71146,0.18882
8.73731,0.18962
8.76316,0.19043
8.78901,0.19126
8.81486,0.1921
8.84071,0.19296
8.86656,0.19384
8.89241,0.19474
8.91826,0.19566
8.94411,0.1966
8.96996,0.19757
8.99581,0.19856
9.02166,0.19957
9.04751,0.2006
9.07336,0.20165
9.09921,0.20272
9.12506,0.2038
9.15091,0.2049
9.17676,0.20601
9.20261,0.20713
9.22846,0.20826
9.25431,0.20939
9.28016,0.21053
9.30601,0.21166
9.33186,0.2128
9.35771,0.21392
9.38356,0.21504
9.40941,0.21616
9.43526,0.21726
9.46111,0.21835
