Energy,DOS
0.01292,0.36029
0.02585,-2.17E-02
0.03877,0.00878
0.0517,-1.49E-03
0.06462,-0.0041
0.07755,2.31E-03
0.09047,-0.00613
0.10339,3.60E-03
0.11632,-0.00742
0.12924,4.21E-03
0.14217,-0.00801
0.15509,4.58E-03
0.16802,-0.00835
0.18094,4.76E-03
0.19387,-0.00854
0.20679,4.97E-03
0.21971,-0.00876
0.23264,5.33E-03
0.24556,-0.00902
0.25849,5.18E-03
0.27141,-0.00809
0.28434,5.08E-03
0.29726,-0.00871
0.31018,5.31E-03
0.32311,-0.00891
0.33603,0.00532
0.34896,-0.00864
0.36188,0.0055
0.37481,-0.00879
0.38773,5.51E-03
0.40066,-0.00899
0.41358,0.00547
0.4265,-0.00866
0.43943,0.0054
0.45235,-0.00883
0.46528,0.00576
0.4782,-0.00878
0.49113,0.00551
0.50405,-8.39E-03
0.51697,0.00559
0.5299,-0.00794
0.54282,0.0059
0.55575,-0.0095
0.56867,0.00613
0.5816,-0.00882
0.59452,0.00584
0.60745,-0.00805
0.62037,0.0052
0.63329,-0.0066
0.64622,0.00464
0.65914,-0.0051
0.67207,0.00375
0.68499,-0.00361
0.69792,0.00287
0.71084,-0.00193
0.72376,2.54E-03
0.73669,-2.56E-04
0.74961,2.00E-03
0.76254,6.08E-05
0.77546,1.59E-03
0.78839,5.32E-04
0.80131,0.00145
0.81424,8.16E-04
0.82716,1.53E-03
0.84008,0.00111
0.85301,1.32E-03
0.86593,1.23E-03
0.87886,1.35E-03
0.89178,1.40E-03
0.90471,1.61E-03
0.91763,1.60E-03
0.93055,1.51E-03
0.94348,1.48E-03
0.9564,1.56E-03
0.96933,1.64E-03
0.98225,1.70E-03
0.99518,1.80E-03
1.0081,1.93E-03
1.02103,2.01E-03
1.03395,2.02E-03
1.04687,1.98E-03
1.0598,1.91E-03
1.07272,1.87E-03
1.08565,1.86E-03
1.09857,1.90E-03
1.1115,1.97E-03
1.12442,2.12E-03
1.13734,2.36E-03
1.15027,2.64E-03
1.16319,2.88E-03
1.17612,3.03E-03
