Energy,DOS
0.01292,0.46586
0.02585,-2.43E-02
0.03877,0.03306
0.0517,-1.12E-02
0.06462,0.02206
0.07755,-8.75E-03
0.09047,0.01883
0.10339,-8.03E-03
0.11632,0.01738
0.12924,-7.54E-03
0.14217,0.01671
0.15509,-7.25E-03
0.16802,0.0164
0.18094,-7.06E-03
0.19387,0.0161
0.20679,-7.02E-03
0.21971,0.01635
0.23264,-6.97E-03
0.24556,0.01633
0.25849,-6.94E-03
0.27141,0.01602
0.28434,-6.47E-03
0.29726,0.01622
0.31018,-6.68E-03
0.32311,0.01651
0.33603,-0.00654
0.34896,0.01616
0.36188,-0.00674
0.37481,0.01608
0.38773,-6.51E-03
0.40066,0.01606
0.41358,-0.00652
0.4265,0.01668
0.43943,-0.00673
0.45235,0.01676
0.46528,-0.00625
0.4782,0.01629
0.49113,-0.00654
0.50405,1.73E-02
0.51697,-0.00646
0.5299,0.01635
0.54282,-0.00656
0.55575,0.01685
0.56867,-0.00668
0.5816,0.01706
0.59452,-0.00619
0.60745,0.01665
0.62037,-0.00535
0.63329,0.01366
0.64622,-0.00388
0.65914,0.01089
0.67207,-0.00254
0.68499,0.00812
0.69792,-0.00116
0.71084,0.00613
0.72376,-2.22E-04
0.73669,0.00443
0.74961,7.59E-04
0.76254,0.00362
0.77546,9.83E-04
0.78839,0.00264
0.80131,0.00136
0.81424,0.00241
0.82716,1.73E-03
0.84008,0.00231
0.85301,2.00E-03
0.86593,2.33E-03
0.87886,2.26E-03
0.89178,2.35E-03
0.90471,2.22E-03
0.91763,2.27E-03
0.93055,2.24E-03
0.94348,2.17E-03
0.9564,2.14E-03
0.96933,2.22E-03
0.98225,2.33E-03
0.99518,2.32E-03
1.0081,2.18E-03
1.02103,2.05E-03
1.03395,2.07E-03
1.04687,2.22E-03
1.0598,2.45E-03
1.07272,2.69E-03
1.08565,2.87E-03
1.09857,2.93E-03
1.1115,2.90E-03
1.12442,2.90E-03
1.13734,3.05E-03
1.15027,3.34E-03
1.16319,3.66E-03
1.17612,3.88E-03
1.18904,3.99E-03
1.20197,4.13E-03
1.21489,4.65E-03
1.22782,6.08E-03
1.24074,9.13E-03
1.25366,1.42E-02
1.26659,2.06E-02
1.27951,2.61E-02
1.29244,2.84E-02
1.30536,2.64E-02
1.31829,2.15E-02
1.33121,1.61E-02
1.34413,1.20E-02
1.35706,9.49E-03
1.36998,8.02E-03
1.38291,6.96E-03
1.39583,6.07E-03
1.40876,5.35E-03
1.42168,4.89E-03
1.43461,4.72E-03
1.44753,4.85E-03
1.46045,5.25E-03
1.47338,5.97E-03
1.4863,7.03E-03
1.49923,8.45E-03
1.51215,1.02E-02
1.52508,1.20E-02
1.538,1.35E-02
1.55092,1.45E-02
1.56385,1.47E-02
1.57677,1.40E-02
1.5897,1.29E-02
1.60262,1.16E-02
