Energy,DOS
0.01292,0.11172
0.02585,-0.02781
0.03877,0.05586
0.0517,-0.02781
0.06462,0.05586
0.07755,-0.02781
0.09047,0.05586
0.10339,-0.02781
0.11632,0.05586
0.12924,-0.02781
0.14217,0.05586
0.15509,-0.02781
0.16802,0.05586
0.18094,-0.02781
0.19387,0.05587
0.20679,-0.02781
0.21971,0.05587
0.23264,-0.02782
0.24556,0.05587
0.25849,-0.02782
0.27141,0.05588
0.28434,-0.02782
0.29726,0.05588
0.31018,-0.02782
0.32311,0.05588
0.33603,-0.02782
0.34896,0.05588
0.36188,-0.02781
0.37481,0.05588
0.38773,-0.02782
0.40066,0.05589
0.41358,-0.02782
0.4265,0.05589
0.43943,-0.02782
0.45235,0.0559
0.46528,-0.02782
0.4782,0.05591
0.49113,-0.02783
0.50405,0.05592
0.51697,-0.02783
0.5299,0.05593
0.54282,-0.02784
0.55575,0.05594
0.56867,-0.02778
0.5816,0.0556
0.59452,-0.027
0.60745,0.05247
0.62037,-0.02419
0.63329,0.04423
0.64622,-0.01939
0.65914,0.03355
0.67207,-0.01419
0.68499,0.02376
0.69792,-0.00979
0.71084,0.01604
0.72376,-0.00644
0.73669,0.01038
0.74961,-0.00403
0.76254,0.00644
0.77546,-0.00238
0.78839,0.00381
0.80131,-0.0013
0.81424,0.00216
0.82716,-6.29E-04
0.84008,0.00117
0.85301,-2.39E-04
0.86593,6.13E-04
0.87886,-3.25E-05
0.89178,3.26E-04
0.90471,6.74E-05
0.91763,1.87E-04
0.93055,1.07E-04
0.94348,1.29E-04
0.9564,1.21E-04
0.96933,1.11E-04
0.98225,1.23E-04
0.99518,1.08E-04
1.0081,1.21E-04
1.02103,1.08E-04
1.03395,1.18E-04
1.04687,1.12E-04
1.0598,1.19E-04
1.07272,1.17E-04
1.08565,1.20E-04
1.09857,1.19E-04
1.1115,1.20E-04
1.12442,1.20E-04
1.13734,1.21E-04
1.15027,1.22E-04
1.16319,1.23E-04
1.17612,1.24E-04
1.18904,1.26E-04
1.20197,1.27E-04
1.21489,1.27E-04
1.22782,1.28E-04
1.24074,1.28E-04
1.25366,1.29E-04
1.26659,1.31E-04
1.27951,1.33E-04
1.29244,1.34E-04
1.30536,1.35E-04
1.31829,1.36E-04
1.33121,1.36E-04
1.34413,1.37E-04
1.35706,1.38E-04
1.36998,1.39E-04
1.38291,1.40E-04
1.39583,1.41E-04
1.40876,1.42E-04
1.42168,1.43E-04
1.43461,1.44E-04
1.44753,1.45E-04
1.46045,1.46E-04
1.47338,1.47E-04
1.4863,1.48E-04
1.49923,1.50E-04
1.51215,1.51E-04
1.52508,1.52E-04
1.538,1.54E-04
1.55092,1.55E-04
1.56385,1.56E-04
1.57677,1.57E-04
1.5897,1.59E-04
1.60262,1.60E-04
1.61555,1.62E-04
1.62847,1.64E-04
1.6414,1.65E-04
1.65432,1.66E-04
1.66724,1.68E-04
1.68017,1.69E-04
1.69309,1.70E-04
1.70602,1.71E-04
1.71894,1.72E-04
1.73187,1.73E-04
1.74479,1.75E-04
1.75771,1.76E-04
1.77064,1.78E-04
1.78356,1.79E-04
1.79649,1.81E-04
1.80941,1.82E-04
1.82234,1.84E-04
1.83526,1.85E-04
1.84819,1.87E-04
1.86111,1.88E-04
1.87403,1.89E-04
1.88696,1.91E-04
1.89988,1.92E-04
1.91281,1.94E-04
1.92573,1.95E-04
1.93866,1.97E-04
1.95158,1.98E-04
1.9645,2.00E-04
1.97743,2.02E-04
1.99035,2.03E-04
2.00328,2.05E-04
2.0162,2.06E-04
2.02913,2.08E-04
2.04205,2.09E-04
2.05498,2.11E-04
2.0679,2.13E-04
2.08082,2.15E-04
2.09375,2.17E-04
2.10667,2.19E-04
2.1196,2.21E-04
2.13252,2.24E-04
2.14545,2.26E-04
2.15837,2.28E-04
2.17129,2.30E-04
2.18422,2.32E-04
2.19714,2.34E-04
2.21007,2.36E-04
2.22299,2.38E-04
2.23592,2.39E-04
2.24884,2.41E-04
2.26177,2.42E-04
2.27469,2.44E-04
2.28761,2.45E-04
2.30054,2.47E-04
2.31346,2.49E-04
2.32639,2.51E-04
2.33931,2.53E-04
2.35224,2.56E-04
2.36516,2.58E-04
2.37808,2.61E-04
2.39101,2.63E-04
2.40393,2.65E-04
2.41686,2.68E-04
2.42978,2.70E-04
2.44271,2.71E-04
2.45563,2.73E-04
2.46856,2.75E-04
2.48148,2.76E-04
2.4944,2.78E-04
2.50733,2.80E-04
2.52025,2.81E-04
2.53318,2.83E-04
2.5461,2.85E-04
2.55903,2.88E-04
2.57195,2.90E-04
2.58487,2.93E-04
2.5978,2.96E-04
2.61072,2.99E-04
2.62365,3.02E-04
2.63657,3.05E-04
2.6495,3.08E-04
2.66242,3.11E-04
2.67535,3.14E-04
2.68827,3.17E-04
2.70119,3.19E-04
2.71412,3.22E-04
2.72704,3.24E-04
2.73997,3.26E-04
2.75289,3.29E-04
2.76582,3.31E-04
2.77874,3.33E-04
2.79166,3.35E-04
2.80459,3.37E-04
2.81751,3.40E-04
2.83044,3.42E-04
2.84336,3.44E-04
2.85629,3.47E-04
2.86921,3.50E-04
2.88214,3.52E-04
2.89506,3.55E-04
2.90798,3.58E-04
2.92091,3.61E-04
2.93383,3.64E-04
2.94676,3.67E-04
2.95968,3.71E-04
2.97261,3.74E-04
2.98553,3.77E-04
2.99845,3.80E-04
3.01138,3.83E-04
3.0243,3.86E-04
3.03723,3.89E-04
3.05015,3.91E-04
3.06308,3.94E-04
3.076,3.97E-04
3.08893,4.01E-04
3.10185,4.04E-04
3.11477,4.07E-04
3.1277,4.11E-04
3.14062,4.14E-04
3.15355,4.18E-04
3.16647,4.22E-04
3.1794,4.27E-04
3.19232,4.31E-04
3.20524,4.36E-04
3.21817,4.41E-04
3.23109,4.47E-04
3.24402,4.52E-04
3.25694,4.58E-04
3.26987,4.64E-04
3.28279,4.70E-04
3.29571,4.76E-04
3.30864,4.82E-04
3.32156,4.89E-04
3.33449,4.95E-04
3.34741,5.02E-04
3.36034,5.08E-04
3.37326,5.14E-04
3.38619,5.20E-04
3.39911,5.26E-04
3.41203,5.32E-04
3.42496,5.38E-04
3.43788,5.43E-04
3.45081,5.49E-04
3.46373,5.56E-04
3.47666,5.64E-04
3.48958,5.73E-04
3.5025,5.84E-04
3.51543,5.99E-04
3.52835,6.20E-04
3.54128,6.48E-04
3.5542,6.86E-04
3.56713,7.38E-04
3.58005,8.09E-04
3.59298,9.05E-04
3.6059,0.00103
3.61882,0.00121
3.63175,0.00144
3.64467,0.00173
3.6576,0.00212
3.67052,0.00261
3.68345,0.00323
3.69637,0.00401
3.70929,0.00498
3.72222,0.00616
3.73514,0.00758
3.74807,0.00929
3.76099,0.0113
3.77392,0.01365
3.78684,0.01637
3.79977,0.01945
3.81269,0.02293
3.82561,0.02678
3.83854,0.03101
3.85146,0.03557
3.86439,0.04044
3.87731,0.04555
3.89024,0.05084
3.90316,0.05622
3.91608,0.06159
3.92901,0.06687
3.94193,0.07194
3.95486,0.07669
3.96778,0.08103
3.98071,0.08486
3.99363,0.0881
4.00656,0.09067
4.01948,0.09254
4.0324,0.09368
4.04533,0.09408
4.05825,0.09377
4.07118,0.09279
4.0841,0.0912
4.09703,0.0891
4.10995,0.08656
4.12287,0.08372
4.1358,0.08067
4.14872,0.07754
4.16165,0.07444
4.17457,0.07147
4.1875,0.06874
4.20042,0.06632
4.21335,0.06428
4.22627,0.06267
4.23919,0.06152
4.25212,0.06083
4.26504,0.06061
4.27797,0.06084
4.29089,0.06146
4.30382,0.06243
4.31674,0.06369
4.32966,0.06517
4.34259,0.06679
4.35551,0.06848
4.36844,0.07016
4.38136,0.07174
4.39429,0.07317
4.40721,0.07438
4.42014,0.0753
4.43306,0.07588
4.44598,0.0761
4.45891,0.07592
4.47183,0.07533
4.48476,0.07432
4.49768,0.07289
4.51061,0.07106
4.52353,0.06886
4.53645,0.06632
4.54938,0.06347
4.5623,0.06037
4.57523,0.05707
4.58815,0.0536
4.60108,0.05003
4.614,0.04641
4.62693,0.04278
4.63985,0.03919
4.65277,0.03568
4.6657,0.03229
4.67862,0.02905
4.69155,0.02599
4.70447,0.02311
4.7174,0.02044
4.73032,0.01799
4.74324,0.01575
4.75617,0.01373
4.76909,0.01192
4.78202,0.01032
4.79494,0.0089
4.80787,0.00767
4.82079,0.0066
4.83372,0.00567
4.84664,0.00489
4.85956,0.00423
4.87249,0.00367
4.88541,0.0032
4.89834,0.00282
4.91126,0.0025
4.92419,0.00225
4.93711,0.00204
4.95003,0.00188
4.96296,0.00175
4.97588,0.00165
4.98881,0.00157
5.00173,0.00152
5.01466,0.00148
5.02758,0.00146
5.04051,0.00145
5.05343,0.00145
5.06635,0.00146
5.07928,0.00149
5.0922,0.00152
5.10513,0.00157
5.11805,0.00163
5.13098,0.00171
5.1439,0.00181
5.15682,0.00193
5.16975,0.00207
5.18267,0.00224
5.1956,0.00245
5.20852,0.00269
5.22145,0.00297
5.23437,0.00331
5.2473,0.00371
5.26022,0.00417
5.27314,0.0047
5.28607,0.00532
5.29899,0.00604
5.31192,0.00685
5.32484,0.00779
5.33777,0.00884
5.35069,0.01004
5.36361,0.01138
5.37654,0.01288
5.38946,0.01455
5.40239,0.0164
5.41531,0.01843
5.42824,0.02066
5.44116,0.02309
5.45409,0.02571
5.46701,0.02855
5.47993,0.03158
5.49286,0.03482
5.50578,0.03824
5.51871,0.04184
5.53163,0.04561
5.54456,0.04954
5.55748,0.05359
5.5704,0.05774
5.58333,0.06198
5.59625,0.06627
5.60918,0.07058
5.6221,0.07488
5.63503,0.07913
5.64795,0.08329
5.66088,0.08734
5.6738,0.09123
5.68672,0.09494
5.69965,0.09843
5.71257,0.10166
5.7255,0.10462
5.73842,0.10728
5.75135,0.10962
5.76427,0.11162
5.77719,0.11327
5.79012,0.11457
5.80304,0.11552
5.81597,0.11611
5.82889,0.11636
5.84182,0.11627
5.85474,0.11588
5.86767,0.11518
5.88059,0.11422
5.89351,0.113
5.90644,0.11156
5.91936,0.10994
5.93229,0.10814
5.94521,0.10622
5.95814,0.10418
5.97106,0.10207
5.98398,0.0999
5.99691,0.0977
6.00983,0.09549
6.02276,0.09329
6.03568,0.09112
6.04861,0.08899
6.06153,0.08691
6.07446,0.08489
6.08738,0.08293
6.1003,0.08104
6.11323,0.07922
6.12615,0.07747
6.13908,0.07579
6.152,0.07417
6.16493,0.0726
6.17785,0.07109
6.19077,0.06963
6.2037,0.0682
6.21662,0.06681
6.22955,0.06544
6.24247,0.0641
6.2554,0.06277
6.26832,0.06144
6.28124,0.06012
6.29417,0.0588
6.30709,0.05747
6.32002,0.05614
6.33294,0.05479
6.34587,0.05342
6.35879,0.05204
6.37172,0.05065
6.38464,0.04923
6.39756,0.0478
6.41049,0.04636
6.42341,0.04489
6.43634,0.04342
6.44926,0.04193
6.46219,0.04043
6.47511,0.03893
6.48803,0.03742
6.50096,0.03591
6.51388,0.0344
6.52681,0.0329
6.53973,0.03141
6.55266,0.02993
6.56558,0.02847
6.57851,0.02703
6.59143,0.02562
6.60435,0.02424
6.61728,0.02289
6.6302,0.02158
6.64313,0.0203
6.65605,0.01907
6.66898,0.01789
6.6819,0.01675
6.69482,0.01566
6.70775,0.01463
6.72067,0.01365
6.7336,0.01272
6.74652,0.01184
6.75945,0.01103
6.77237,0.01027
6.7853,0.00956
6.79822,0.00891
6.81114,0.00831
6.82407,0.00777
6.83699,0.00728
6.84992,0.00685
6.86284,0.00646
6.87577,0.00612
6.88869,0.00584
6.90161,0.0056
6.91454,0.0054
6.92746,0.00526
6.94039,0.00516
6.95331,0.0051
6.96624,0.00509
6.97916,0.00512
6.99209,0.00519
7.00501,0.00531
7.01793,0.00548
7.03086,0.00569
7.04378,0.00595
7.05671,0.00626
7.06963,0.00662
7.08256,0.00704
