Energy,DOS
0.01292,0.08796
0.02585,-0.01906
0.03877,0.03912
0.0517,-0.01859
0.06462,0.0389
0.07755,-0.01835
0.09047,0.03918
0.10339,-0.01844
0.11632,0.03886
0.12924,-0.01842
0.14217,0.03882
0.15509,-0.01848
0.16802,0.0385
0.18094,-0.01827
0.19387,0.03896
0.20679,-0.01821
0.21971,0.03858
0.23264,-0.01832
0.24556,0.0385
0.25849,-0.01837
0.27141,0.03902
0.28434,-0.01843
0.29726,0.0391
0.31018,-0.01828
0.32311,0.03863
0.33603,-0.01824
0.34896,0.03947
0.36188,-0.01814
0.37481,0.0392
0.38773,-0.01801
0.40066,0.0405
0.41358,-0.01806
0.4265,0.03972
0.43943,-0.01827
0.45235,0.03894
0.46528,-0.01722
0.4782,0.03789
0.49113,-0.01714
0.50405,0.03795
0.51697,-0.01712
0.5299,0.03869
0.54282,-0.01559
0.55575,0.0369
0.56867,-0.01631
0.5816,0.03984
0.59452,-0.01645
0.60745,0.03663
0.62037,-0.01471
0.63329,0.03213
0.64622,-0.01179
0.65914,0.02452
0.67207,-0.00825
0.68499,0.01781
0.69792,-0.00533
0.71084,0.01297
0.72376,-0.00291
0.73669,0.00898
0.74961,-8.86E-04
0.76254,0.00564
0.77546,-1.28E-04
0.78839,0.00416
0.80131,0.00108
0.81424,0.00348
0.82716,0.00155
0.84008,0.00263
0.85301,0.00165
0.86593,0.00234
0.87886,0.00207
0.89178,0.00238
0.90471,0.00222
0.91763,0.00223
0.93055,0.00213
0.94348,0.00219
0.9564,0.00231
0.96933,0.00245
0.98225,0.00256
0.99518,0.00261
1.0081,0.00257
1.02103,0.00245
1.03395,0.00244
1.04687,0.00264
1.0598,0.00297
1.07272,0.00318
1.08565,0.00313
1.09857,0.00287
1.1115,0.00266
1.12442,0.00267
1.13734,0.00291
1.15027,0.00323
1.16319,0.00342
1.17612,0.00343
1.18904,0.00334
1.20197,0.00328
1.21489,0.00333
1.22782,0.0035
1.24074,0.00374
1.25366,0.00397
1.26659,0.00417
1.27951,0.00432
1.29244,0.00446
1.30536,0.00462
1.31829,0.00482
1.33121,0.005
1.34413,0.00506
1.35706,0.00492
1.36998,0.00463
1.38291,0.0043
1.39583,0.00406
1.40876,0.00398
1.42168,0.00406
1.43461,0.00423
1.44753,0.00443
1.46045,0.00462
1.47338,0.0048
1.4863,0.00497
1.49923,0.00513
1.51215,0.0053
1.52508,0.00544
1.538,0.00555
1.55092,0.00561
1.56385,0.00561
1.57677,0.00558
1.5897,0.00553
1.60262,0.00552
1.61555,0.00557
1.62847,0.00569
1.6414,0.00587
1.65432,0.00607
1.66724,0.00627
1.68017,0.00642
1.69309,0.00652
1.70602,0.00656
1.71894,0.00656
1.73187,0.00655
1.74479,0.00654
1.75771,0.00655
1.77064,0.00658
1.78356,0.00666
1.79649,0.00676
1.80941,0.00689
1.82234,0.00704
1.83526,0.00721
1.84819,0.00737
1.86111,0.00755
1.87403,0.00773
1.88696,0.00792
1.89988,0.00812
1.91281,0.00834
1.92573,0.00856
1.93866,0.00879
1.95158,0.00903
1.9645,0.00926
1.97743,0.0095
1.99035,0.00975
2.00328,0.01003
2.0162,0.01035
2.02913,0.01074
2.04205,0.0112
2.05498,0.01177
2.0679,0.01242
2.08082,0.01315
2.09375,0.01396
2.10667,0.01483
2.1196,0.01574
2.13252,0.0167
2.14545,0.01771
2.15837,0.01882
2.17129,0.02007
2.18422,0.02152
2.19714,0.02321
2.21007,0.0252
2.22299,0.0275
2.23592,0.0301
2.24884,0.03295
2.26177,0.03599
2.27469,0.03915
2.28761,0.04237
2.30054,0.04561
2.31346,0.04886
2.32639,0.05216
2.33931,0.05557
2.35224,0.05917
2.36516,0.06301
2.37808,0.06714
2.39101,0.07157
2.40393,0.07626
2.41686,0.08114
2.42978,0.08611
2.44271,0.09102
2.45563,0.09571
2.46856,0.10001
2.48148,0.10373
2.4944,0.10671
2.50733,0.10877
2.52025,0.10978
2.53318,0.10964
2.5461,0.10834
2.55903,0.10588
2.57195,0.10239
2.58487,0.098
2.5978,0.09295
2.61072,0.08748
2.62365,0.08185
2.63657,0.07631
2.6495,0.07109
2.66242,0.06636
2.67535,0.06225
2.68827,0.05883
2.70119,0.05611
2.71412,0.05408
2.72704,0.05268
2.73997,0.05183
2.75289,0.05145
2.76582,0.05146
2.77874,0.05177
2.79166,0.0523
2.80459,0.05298
2.81751,0.05373
2.83044,0.05448
2.84336,0.05517
2.85629,0.05573
2.86921,0.05612
2.88214,0.0563
2.89506,0.05625
2.90798,0.05596
2.92091,0.05546
2.93383,0.05477
2.94676,0.05393
2.95968,0.05299
2.97261,0.05199
2.98553,0.05099
2.99845,0.05001
3.01138,0.0491
3.0243,0.04827
3.03723,0.04756
3.05015,0.04698
3.06308,0.04655
3.076,0.04629
3.08893,0.04621
3.10185,0.04634
3.11477,0.04669
3.1277,0.0473
3.14062,0.04818
3.15355,0.04935
3.16647,0.05082
3.1794,0.0526
3.19232,0.05469
3.20524,0.05709
3.21817,0.05979
3.23109,0.06275
3.24402,0.06597
3.25694,0.0694
3.26987,0.07301
3.28279,0.07677
3.29571,0.08064
3.30864,0.08457
3.32156,0.08853
3.33449,0.09247
3.34741,0.09635
3.36034,0.10013
3.37326,0.10377
3.38619,0.10722
3.39911,0.11046
3.41203,0.11344
3.42496,0.11613
3.43788,0.11851
3.45081,0.12054
3.46373,0.12222
3.47666,0.12353
3.48958,0.12446
3.5025,0.12501
3.51543,0.12518
3.52835,0.12497
3.54128,0.1244
3.5542,0.12348
3.56713,0.12222
3.58005,0.12064
3.59298,0.11878
3.6059,0.11665
3.61882,0.1143
3.63175,0.11177
3.64467,0.1091
3.6576,0.10635
3.67052,0.10356
3.68345,0.10081
3.69637,0.09813
3.70929,0.09558
3.72222,0.09321
3.73514,0.09105
3.74807,0.08915
3.76099,0.08751
3.77392,0.08615
3.78684,0.08509
3.79977,0.08431
3.81269,0.0838
3.82561,0.08356
3.83854,0.08354
3.85146,0.08374
3.86439,0.08412
3.87731,0.08466
3.89024,0.08533
3.90316,0.0861
3.91608,0.08694
3.92901,0.08784
3.94193,0.08878
3.95486,0.08973
3.96778,0.09069
3.98071,0.09164
3.99363,0.09258
4.00656,0.09349
4.01948,0.09437
4.0324,0.09523
4.04533,0.09607
4.05825,0.09689
4.07118,0.0977
4.0841,0.09852
4.09703,0.09934
4.10995,0.10018
4.12287,0.10107
4.1358,0.102
4.14872,0.10301
4.16165,0.1041
4.17457,0.10529
4.1875,0.10659
4.20042,0.10801
4.21335,0.10958
4.22627,0.1113
4.23919,0.11317
4.25212,0.11522
4.26504,0.11744
4.27797,0.11984
4.29089,0.12241
4.30382,0.12516
4.31674,0.12808
4.32966,0.13115
4.34259,0.13437
4.35551,0.13771
4.36844,0.14115
4.38136,0.14467
4.39429,0.14823
4.40721,0.1518
4.42014,0.15534
4.43306,0.15881
4.44598,0.16217
4.45891,0.16539
4.47183,0.16842
4.48476,0.17121
4.49768,0.17375
4.51061,0.17599
4.52353,0.17791
4.53645,0.17949
4.54938,0.18071
4.5623,0.18157
4.57523,0.18207
4.58815,0.18221
4.60108,0.182
4.614,0.18148
4.62693,0.18065
4.63985,0.17956
4.65277,0.17823
4.6657,0.17671
4.67862,0.17504
4.69155,0.17325
4.70447,0.1714
4.7174,0.16952
4.73032,0.16764
4.74324,0.16582
4.75617,0.16407
4.76909,0.16244
4.78202,0.16094
4.79494,0.1596
4.80787,0.15845
4.82079,0.15748
4.83372,0.15671
4.84664,0.15616
4.85956,0.15581
4.87249,0.15567
4.88541,0.15574
4.89834,0.156
4.91126,0.15645
4.92419,0.15708
4.93711,0.15788
4.95003,0.15882
4.96296,0.15989
4.97588,0.16109
4.98881,0.16238
5.00173,0.16376
5.01466,0.16522
5.02758,0.16672
5.04051,0.16826
5.05343,0.16983
5.06635,0.1714
5.07928,0.17298
5.0922,0.17455
5.10513,0.17609
5.11805,0.1776
5.13098,0.17909
5.1439,0.18053
5.15682,0.18192
5.16975,0.18327
5.18267,0.18458
5.1956,0.18583
5.20852,0.18704
5.22145,0.18821
5.23437,0.18933
5.2473,0.19042
5.26022,0.19147
5.27314,0.19249
5.28607,0.19348
5.29899,0.19444
5.31192,0.19539
5.32484,0.19632
5.33777,0.19723
5.35069,0.19813
5.36361,0.19902
5.37654,0.1999
5.38946,0.20078
5.40239,0.20164
5.41531,0.2025
5.42824,0.20336
5.44116,0.2042
5.45409,0.20504
5.46701,0.20586
5.47993,0.20668
5.49286,0.20748
5.50578,0.20826
5.51871,0.20903
5.53163,0.20978
5.54456,0.21051
5.55748,0.21122
5.5704,0.21191
5.58333,0.21258
5.59625,0.21322
5.60918,0.21385
5.6221,0.21445
5.63503,0.21503
5.64795,0.21559
5.66088,0.21614
5.6738,0.21667
5.68672,0.21719
5.69965,0.2177
5.71257,0.2182
5.7255,0.2187
5.73842,0.2192
5.75135,0.2197
5.76427,0.2202
5.77719,0.22071
5.79012,0.22124
5.80304,0.22178
5.81597,0.22234
5.82889,0.22291
5.84182,0.22351
5.85474,0.22414
5.86767,0.22479
5.88059,0.22548
5.89351,0.22619
5.90644,0.22694
5.91936,0.22772
5.93229,0.22853
5.94521,0.22938
5.95814,0.23026
5.97106,0.23118
5.98398,0.23212
5.99691,0.23309
6.00983,0.2341
6.02276,0.23513
6.03568,0.23618
6.04861,0.23726
6.06153,0.23835
6.07446,0.23946
6.08738,0.24058
6.1003,0.24171
6.11323,0.24285
6.12615,0.24399
6.13908,0.24514
6.152,0.24628
6.16493,0.24741
6.17785,0.24854
6.19077,0.24966
6.2037,0.25077
6.21662,0.25187
6.22955,0.25296
6.24247,0.25403
6.2554,0.25509
6.26832,0.25613
6.28124,0.25717
6.29417,0.25819
6.30709,0.2592
6.32002,0.2602
6.33294,0.26119
6.34587,0.26218
6.35879,0.26316
6.37172,0.26414
6.38464,0.26512
6.39756,0.2661
6.41049,0.26708
6.42341,0.26806
6.43634,0.26905
6.44926,0.27004
6.46219,0.27103
6.47511,0.27203
6.48803,0.27303
6.50096,0.27403
6.51388,0.27504
6.52681,0.27604
6.53973,0.27704
6.55266,0.27804
6.56558,0.27902
6.57851,0.28
6.59143,0.28097
6.60435,0.28192
6.61728,0.28285
6.6302,0.28376
6.64313,0.28464
6.65605,0.2855
6.66898,0.28633
6.6819,0.28712
6.69482,0.28788
6.70775,0.2886
6.72067,0.28928
6.7336,0.28992
6.74652,0.29052
6.75945,0.29108
6.77237,0.2916
6.7853,0.29208
6.79822,0.29252
6.81114,0.29291
6.82407,0.29328
6.83699,0.2936
6.84992,0.2939
6.86284,0.29416
6.87577,0.29439
6.88869,0.2946
6.90161,0.29479
6.91454,0.29497
6.92746,0.29512
6.94039,0.29527
6.95331,0.29541
6.96624,0.29554
6.97916,0.29567
6.99209,0.29581
7.00501,0.29596
7.01793,0.29611
7.03086,0.29628
7.04378,0.29646
7.05671,0.29666
7.06963,0.29689
7.08256,0.29713
7.09548,0.29741
7.1084,0.29771
7.12133,0.29804
7.13425,0.2984
7.14718,0.2988
7.1601,0.29922
7.17303,0.29968
7.18595,0.30018
7.19888,0.30071
7.2118,0.30127
7.22472,0.30187
7.23765,0.30251
7.25057,0.30317
7.2635,0.30387
7.27642,0.3046
7.28935,0.30536
7.30227,0.30616
7.31519,0.30698
7.32812,0.30782
7.34104,0.30869
7.35397,0.30959
7.36689,0.31051
7.37982,0.31145
7.39274,0.3124
7.40567,0.31338
7.41859,0.31437
7.43151,0.31537
7.44444,0.31638
7.45736,0.31741
7.47029,0.31844
7.48321,0.31948
7.49614,0.32053
7.50906,0.32158
7.52198,0.32263
7.53491,0.32369
7.54783,0.32474
7.56076,0.3258
7.57368,0.32686
7.58661,0.32791
7.59953,0.32897
7.61246,0.33002
7.62538,0.33107
7.6383,0.33211
7.65123,0.33315
7.66415,0.33419
7.67708,0.33522
7.69,0.33625
7.70293,0.33727
7.71585,0.33829
7.72877,0.3393
7.7417,0.34031
7.75462,0.34132
7.76755,0.34232
7.78047,0.34332
7.7934,0.34431
7.80632,0.3453
7.81925,0.34629
7.83217,0.34727
7.84509,0.34824
7.85802,0.34921
7.87094,0.35018
7.88387,0.35114
7.89679,0.3521
7.90972,0.35306
7.92264,0.35401
7.93556,0.35495
7.94849,0.35589
7.96141,0.35683
7.97434,0.35776
7.98726,0.35868
8.00019,0.3596
8.01311,0.36052
8.02604,0.36143
8.03896,0.36233
8.05188,0.36323
8.06481,0.36413
8.07773,0.36502
8.09066,0.3659
8.10358,0.36678
8.11651,0.36766
8.12943,0.36853
8.14235,0.3694
8.15528,0.37026
8.1682,0.37112
8.18113,0.37198
8.19405,0.37283
8.20698,0.37367
8.2199,0.37452
8.23283,0.37536
8.24575,0.3762
8.25867,0.37703
8.2716,0.37786
8.28452,0.37869
8.29745,0.37951
8.31037,0.38033
8.3233,0.38115
8.33622,0.38196
8.34914,0.38277
8.36207,0.38358
8.37499,0.38438
8.38792,0.38517
8.40084,0.38596
8.41377,0.38675
