Energy (meV),DOS
0,0.049320215
0.1,1.97E-43
0.2,2.37E-43
0.3,2.86E-43
0.4,3.43E-43
0.5,4.13E-43
0.6,4.97E-43
0.7,5.97E-43
0.8,7.18E-43
0.9,1.02E-22
1,2.09E-08
1.1,0.001228884
1.2,2.09E-08
1.3,1.02E-22
1.4,2.16E-42
1.5,1.95E-38
1.6,2.36E-30
1.7,2.38E-23
1.8,2.02E-17
1.9,1.43E-12
2,8.43E-09
2.1,4.17E-06
2.2,0.00017231
2.3,0.000595855
2.4,0.00017231
2.5,4.17E-06
2.6,8.43E-09
2.7,1.43E-12
2.8,3.12E-12
2.9,9.37E-10
3,1.17E-07
3.1,6.06E-06
3.2,0.000130751
3.3,0.001172678
3.4,0.004373397
3.5,0.006782123
3.6,0.004373397
3.7,0.001172678
3.8,0.000130751
3.9,6.07E-06
4,3.32E-07
4.1,2.71E-06
4.2,2.15E-05
4.3,0.000107475
4.4,0.000339628
4.5,0.000677364
4.6,0.000852631
4.7,0.000677364
4.8,0.000339629
4.9,0.000107487
5,2.16E-05
5.1,3.60E-06
5.2,5.36E-06
5.3,2.26E-05
5.4,7.58E-05
5.5,0.00019417
5.6,0.000380349
5.7,0.000569353
5.8,0.000651303
5.9,0.000569375
6,0.00038049
6.1,0.000194911
6.2,7.90E-05
6.3,3.47E-05
6.4,4.27E-05
6.5,9.90E-05
6.6,0.000215165
6.7,0.000396109
6.8,0.000612758
6.9,0.000796184
7,0.00086911
7.1,0.00079785
7.2,0.000619039
7.3,0.000416051
7.4,0.000271037
7.5,0.000237187
7.6,0.000343762
7.7,0.00060899
7.8,0.001033877
7.9,0.001576843
8,0.002135095
8.1,0.002561833
8.2,0.002723759
8.3,0.00256783
8.4,0.002151158
8.5,0.001611751
8.6,0.001101239
8.7,0.000724441
8.8,0.00051645
8.9,0.00045564
9,0.000491191
9.1,0.000566656
9.2,0.000634133
9.3,0.000661904
9.4,0.000638267
9.5,0.000571316
9.6,0.000483771
9.7,0.000404071
9.8,0.000356984
9.9,0.000356956
10,0.000405518
10.1,0.000492206
10.2,0.000597758
10.3,0.000698726
10.4,0.000772922
10.5,0.000804857
10.6,0.000789801
10.7,0.000734982
10.8,0.0006573
10.9,0.000578236
11,0.000517756
11.1,0.000489254
11.2,0.000496927
11.3,0.000535978
11.4,0.000595146
11.5,0.000660575
11.6,0.00071997
11.7,0.000766073
11.8,0.000798686
11.9,0.000824751
12,0.000856422
12.1,0.000907555
12.2,0.000989505
12.3,0.001107333
12.4,0.001257457
12.5,0.001427425
12.6,0.001597906
12.7,0.001746465
12.8,0.001852191
12.9,0.001900064
13,0.001883958
13.1,0.001807598
13.2,0.001683293
13.3,0.001528888
13.4,0.001363825
13.5,0.001205366
13.6,0.001065872
13.7,0.000951643
13.8,0.000863324
13.9,0.000797457
14,0.000748566
14.1,0.000711114
14.2,0.000680887
14.3,0.000655583
14.4,0.000634674
14.5,0.000618761
14.6,0.000608735
14.7,0.000605036
14.8,0.000607208
14.9,0.000613824
15,0.00062276
15.1,0.000631673
15.2,0.000638552
15.3,0.00064217
15.4,0.000642349
15.5,0.000639982
15.6,0.00063684
15.7,0.000635237
15.8,0.000637635
15.9,0.000646287
16,0.000662991
16.1,0.00068897
16.2,0.000724872
16.3,0.000770862
16.4,0.000826722
16.5,0.00089194
16.6,0.000965719
16.7,0.001046929
16.8,0.001134005
16.9,0.001224835
17,0.001316699
17.1,0.00140629
17.2,0.001489856
17.3,0.001563455
17.4,0.001623298
17.5,0.001666131
17.6,0.001689595
17.7,0.001692498
17.8,0.001674965
17.9,0.001638426
18,0.001585454
18.1,0.001519486
18.2,0.001444462
18.3,0.001364444
18.4,0.001283269
18.5,0.001204267
18.6,0.001130085
18.7,0.00106261
18.8,0.001002983
18.9,0.000951685
19,0.000908668
19.1,0.000873494
19.2,0.000845472
19.3,0.000823777
19.4,0.000807532
19.5,0.000795871
19.6,0.000787978
19.7,0.00078311
19.8,0.00078061
19.9,0.00077992
20,0.000780581
20.1,0.000782249
20.2,0.000784685
20.3,0.000787765
20.4,0.000791462
20.5,0.000795845
20.6,0.000801058
20.7,0.000807309
20.8,0.000814852
20.9,0.000823977
21,0.000834997
21.1,0.000848243
21.2,0.000864055
21.3,0.000882773
21.4,0.000904725
21.5,0.000930217
21.6,0.00095951
21.7,0.000992794
21.8,0.001030165
21.9,0.001071598
22,0.001116917
22.1,0.001165778
22.2,0.001217659
22.3,0.001271853
