Energy (meV),Original DOS (normalized),Broadened DOS (normalized)
10.9,0.0,0.0007204045114490777
11.0,0.0,0.0006602715260384603
11.1,0.0,0.0006414873939967402
11.2,0.0,0.000668055260984302
11.3,0.0,0.0007321734684029654
11.4,0.0,0.0008172054980948524
11.5,0.0,0.0009024640208662338
11.6,0.0,0.0009685173005923366
11.7,0.010144489291590451,0.0010018052414317062
11.8,0.0,0.0009975694077871964
11.9,0.0,0.0009604769658204643
12.0,0.0,0.0009028722516924239
12.1,0.0,0.0008412215323508233
12.2,0.0,0.0007918152395143303
12.3,0.0,0.0007669568656273107
12.4,0.0,0.0007726349108729156
12.5,0.0,0.0008081508153138338
12.6,0.0,0.000867570400590919
12.7,0.0,0.0009423795412622787
12.8,0.0,0.0010244729092462601
12.9,0.009945128750935292,0.0011086079482292303
13.0,0.0,0.0011936708751708557
13.1,0.0,0.0012824555443074438
13.2,0.0,0.001380066636866313
13.3,0.0,0.0014914352412439933
13.4,0.0,0.0016186859264791117
13.5,0.0,0.0017591481060544377
13.6,0.0,0.001904636297048783
13.7,0.0,0.002042273829852283
13.8,0.0,0.00215670127114085
13.9,0.0,0.0022331217640105794
14.0,0.02761578003968698,0.0022604052289699225
14.1,0.0,0.002233466291073607
14.2,0.0,0.002154341776084915
14.3,0.0,0.002031752299953335
14.4,0.0,0.0018793283421361172
14.5,0.0,0.0017130000241543076
14.6,0.0,0.0015482090488309287
14.7,0.0,0.0013975726774521947
14.8,0.0,0.001269442652619932
14.9,0.0,0.0011675280459140058
15.0,0.0,0.0010914762939005917
15.1,0.0,0.001038103977569424
15.2,0.009947572432928677,0.0010028783547832048
15.3,0.0,0.0009812742974469944
15.4,0.0,0.0009697402857093116
15.5,0.0,0.000966156552937947
15.6,0.0,0.0009698130966584146
15.7,0.0,0.0009810412149336828
15.8,0.0,0.0010006826399846845
15.9,0.0,0.0010295752400580485
16.0,0.0,0.0010681865374619372
16.1,0.0,0.0011164559508655618
16.2,0.0,0.0011738350064520273
16.3,0.0,0.0012394595396688715
16.4,0.012596637789377653,0.0013123601492709867
16.5,0.0,0.001391619788817225
16.6,0.0,0.0014764156789564423
16.7,0.0,0.0015659263674257272
16.8,0.0,0.0016591308037815634
16.9,0.0,0.0017545624451832066
17.0,0.0,0.0018500988715624137
17.1,0.0,0.0019428626434724221
17.2,0.0,0.002029284360363339
17.3,0.0,0.0021053410026423513
17.4,0.0,0.0021669413676633905
17.5,0.0,0.0022103957104974955
17.6,0.0315123257762369,0.0022328864382353706
17.7,0.0,0.0022328549235594384
17.8,0.0,0.0022102357393277827
17.9,0.0,0.0021664993472824234
18.0,0.0,0.0021045002791923546
18.1,0.0,0.0020281620963487975
18.2,0.0,0.0019420559709690682
18.3,0.0,0.0018509422340053094
18.4,0.0,0.0017593425906745756
18.5,0.0,0.001671196977506407
18.6,0.0,0.0015896375790771169
